"CIGS from Paulson" x 0 0 0.31 0.31 0.45 0.31 0.66 0.66 1 1
eV Lambda n k n k n k n k n k
4.6 269.5652173913 2.81 1.26 2.73 1.33 2.8 1.3 2.78 1.32 2.67 1.3
4.5 275.5555555556 2.78 1.16 2.72 1.24 2.78 1.22 2.75 1.26 2.66 1.28
4.4 281.8181818182 2.74 1.08 2.7 1.17 2.74 1.16 2.71 1.2 2.65 1.27
4.3 288.3720930233 2.69 1.02 2.67 1.12 2.71 1.12 2.68 1.18 2.66 1.27
4.2 295.2380952381 2.64 0.99 2.63 1.09 2.68 1.1 2.66 1.18 2.68 1.27
4.1 302.4390243902 2.6 0.99 2.61 1.08 2.66 1.09 2.66 1.18 2.73 1.26
4 310 2.56 0.99 2.59 1.08 2.65 1.09 2.68 1.18 2.78 1.2
3.9 317.9487179487 2.54 1.02 2.59 1.09 2.66 1.1 2.72 1.17 2.77 1.13
3.8 326.3157894737 2.54 1.05 2.61 1.1 2.69 1.09 2.74 1.12 2.74 1.11
3.7 335.1351351351 2.58 1.08 2.64 1.08 2.7 1.06 2.72 1.09 2.71 1.12
3.6 344.4444444444 2.64 1.06 2.65 1.05 2.7 1.03 2.7 1.09 2.71 1.16
3.5 354.2857142857 2.64 1.03 2.64 1.04 2.68 1.04 2.69 1.13 2.77 1.22
3.4 364.7058823529 2.63 1.02 2.63 1.05 2.69 1.06 2.73 1.18 2.85 1.27
3.3 375.7575757576 2.63 1.06 2.65 1.1 2.73 1.1 2.81 1.22 3 1.29
3.2 387.5 2.67 1.11 2.7 1.13 2.8 1.13 2.94 1.23 3.18 1.2
3.1 400 2.74 1.15 2.79 1.16 2.91 1.13 3.1 1.17 3.31 1.02
3 413.3333333333 2.86 1.18 2.92 1.14 3.04 1.06 3.21 1.01 3.3 0.84
2.9 427.5862068966 3.03 1.12 3.05 1.04 3.12 0.94 3.22 0.85 3.27 0.71
2.8 442.8571428571 3.14 0.96 3.1 0.91 3.14 0.8 3.19 0.73 3.22 0.62
2.7 459.2592592593 3.14 0.8 3.1 0.79 3.12 0.7 3.15 0.64 3.18 0.55
2.6 476.9230769231 3.11 0.71 3.07 0.71 3.09 0.62 3.11 0.58 3.14 0.5
2.5 496 3.08 0.64 3.05 0.64 3.05 0.57 3.07 0.53 3.11 0.46
2.4 516.6666666667 3.05 0.58 3.03 0.59 3.03 0.52 3.04 0.5 3.08 0.42
2.3 539.1304347826 3.02 0.54 3.01 0.55 3 0.49 3.02 0.47 3.06 0.39
2.2 563.6363636364 3 0.51 2.99 0.52 2.98 0.46 3.01 0.44 3.05 0.36
2.1 590.4761904762 2.99 0.48 2.98 0.49 2.97 0.43 2.99 0.42 3.04 0.34
2 620 2.98 0.46 2.97 0.47 2.96 0.41 2.98 0.39 3.04 0.31
1.95 635.8974358974 2.97 0.45 2.97 0.45 2.96 0.4 2.98 0.38 3.05 0.28
1.9 652.6315789474 2.97 0.43 2.97 0.44 2.96 0.39 2.98 0.37 3.04 0.24
1.85 670.2702702703 2.96 0.42 2.96 0.43 2.95 0.38 2.99 0.36 3.02 0.23
1.8 688.8888888889 2.96 0.41 2.97 0.42 2.96 0.37 2.99 0.35 3.03 0.22
1.75 708.5714285714 2.96 0.4 2.97 0.4 2.96 0.35 3 0.33 3.04 0.18
1.7 729.4117647059 2.96 0.39 2.97 0.39 2.96 0.34 3.01 0.31 3.03 0.14
1.65 751.5151515152 2.96 0.38 2.97 0.38 2.97 0.33 3.01 0.28 2.99 0.08
1.6 775 2.96 0.37 2.98 0.37 2.97 0.31 3 0.26 2.94 0.07
1.55 800 2.97 0.36 2.98 0.36 2.98 0.29 3 0.24 2.92 0.07
1.5 826.6666666667 2.97 0.35 3 0.34 2.99 0.27 3.02 0.22 2.89 0.06
1.45 855.1724137931 2.98 0.34 3.01 0.32 2.98 0.24 3.04 0.16 2.87 0.06
1.4 885.7142857143 2.99 0.33 3.02 0.28 2.98 0.22 2.99 0.11 2.86 0.06
1.35 918.5185185185 3 0.32 3.01 0.26 3 0.2 2.99 0.09 2.84 0.05
1.3 953.8461538462 3.01 0.3 3.02 0.24 3.01 0.15 2.94 0.04 2.83 0.05
1.25 992 3.03 0.27 3.03 0.21 2.98 0.09 2.9 0.04 2.82 0.05
1.2 1033.3333333333 3.02 0.24 3.05 0.15 2.94 0.06 2.87 0.04 2.8 0.04
1.15 1078.2608695652 3.02 0.22 3.01 0.08 2.9 0.05 2.85 0.04 2.79 0.04
1.1 1127.2727272727 3.03 0.21 2.96 0.06 2.87 0.05 2.83 0.03 2.78 0.04
1.05 1180.9523809524 3.07 0.18 2.92 0.05 2.85 0.04 2.82 0.03 2.77 0.04
1 1240 3.05 0.05 2.9 0.05 2.84 0.04 2.81 0.03 2.77 0.03
0.95 1305.2631578947 2.98 0.04 2.88 0.05 2.82 0.04 2.79 0.03 2.76 0.03
0.9 1377.7777777778 2.95 0.04 2.86 0.04 2.81 0.03 2.78 0.03 2.75 0.03
0.85 1458.8235294118 2.92 0.04 2.85 0.04 2.8 0.03 2.77 0.02 2.74 0.03
0.8 1550 2.9 0.04 2.84 0.04 2.79 0.03 2.76 0.02 2.74 0.03
0.75 1653.3333333333 2.89 0.03 2.83 0.03 2.78 0.03 2.76 0.02 2.73 0.02
